tcpdump -i eth0 src 165.227.42.177

19:16:52.202967 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 57724:58064, ack 37, win 501, length 340
19:16:52.203011 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 58064:58404, ack 37, win 501, length 340
19:16:52.203052 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 58404:58744, ack 37, win 501, length 340
19:16:52.203094 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 58744:59084, ack 37, win 501, length 340
19:16:52.203140 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 59084:59424, ack 37, win 501, length 340
19:16:52.226481 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 59084:59424, ack 37, win 501, length 340
19:16:52.306682 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 59424:59612, ack 37, win 501, length 188
19:16:52.306829 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 59612:59800, ack 37, win 501, length 188
19:16:52.306928 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 59800:60292, ack 37, win 501, length 492
19:16:52.307035 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 60292:60936, ack 37, win 501, length 644
19:16:52.307118 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 60936:61276, ack 37, win 501, length 340
19:16:52.410730 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 61276:61464, ack 37, win 501, length 188
19:16:52.410788 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 61464:61500, ack 37, win 501, length 36
19:16:52.410835 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 61500:61688, ack 37, win 501, length 188
19:16:52.410863 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 61688:61724, ack 37, win 501, length 36
19:16:52.410894 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 61724:61912, ack 37, win 501, length 188
19:16:52.410927 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 61912:62100, ack 37, win 501, length 188
19:16:52.410966 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 62100:62288, ack 37, win 501, length 188
19:16:52.434495 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 62100:62288, ack 37, win 501, length 188
19:16:52.514667 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 62288:62476, ack 37, win 501, length 188
19:16:52.514793 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 62476:62968, ack 37, win 501, length 492
19:16:52.514865 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 62968:63612, ack 37, win 501, length 644
19:16:52.618664 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 63612:63800, ack 37, win 501, length 188
19:16:52.618744 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 63800:63988, ack 37, win 501, length 188
19:16:52.618769 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 63988:64024, ack 37, win 501, length 36
19:16:52.618807 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 64024:64212, ack 37, win 501, length 188
19:16:52.618833 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 64212:64248, ack 37, win 501, length 36
19:16:52.642474 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 64212:64248, ack 37, win 501, length 36
19:16:52.722717 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 64248:64436, ack 37, win 501, length 188
19:16:52.722845 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 64436:64776, ack 37, win 501, length 340
19:16:52.722958 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 64776:65268, ack 37, win 501, length 492
19:16:52.826725 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 65268:65456, ack 37, win 501, length 188
19:16:52.826791 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 65456:65492, ack 37, win 501, length 36
19:16:52.826873 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 65492:65832, ack 37, win 501, length 340
19:16:52.826924 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 65832:65868, ack 37, win 501, length 36
19:16:52.930656 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 65868:66056, ack 37, win 501, length 188
19:16:52.930755 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 66056:66548, ack 37, win 501, length 492
19:16:52.954471 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 66056:66548, ack 37, win 501, length 492
19:16:53.034660 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 66548:66736, ack 37, win 501, length 188
19:16:53.034805 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 66736:67076, ack 37, win 501, length 340
19:16:53.034859 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 67076:67112, ack 37, win 501, length 36
19:16:53.138744 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 67112:67300, ack 37, win 501, length 188
19:16:53.138836 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 67300:67640, ack 37, win 501, length 340
19:16:53.242636 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 67640:67828, ack 37, win 501, length 188
19:16:53.242713 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 67828:68016, ack 37, win 501, length 188
19:16:53.262471 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 67828:68016, ack 37, win 501, length 188
^C
363 packets captured
365 packets received by filter
0 packets dropped by kernel
