root@lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
19:13:06.655357 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6396:6432, ack 1, win 501, length 36
19:13:06.655388 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6432:6580, ack 1, win 501, length 148
19:13:06.655410 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6580:6616, ack 1, win 501, length 36
19:13:06.655439 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6616:6764, ack 1, win 501, length 148
19:13:06.655460 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6764:6800, ack 1, win 501, length 36
19:13:06.655488 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6800:6948, ack 1, win 501, length 148
19:13:06.655510 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6948:6984, ack 1, win 501, length 36
19:13:06.655538 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 6984:7132, ack 1, win 501, length 148
19:13:06.655561 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7132:7168, ack 1, win 501, length 36
19:13:06.655602 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7168:7316, ack 1, win 501, length 148
19:13:06.655627 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7316:7352, ack 1, win 501, length 36
19:13:06.655657 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7352:7500, ack 1, win 501, length 148
19:13:06.655678 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7500:7536, ack 1, win 501, length 36
19:13:06.655707 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7536:7684, ack 1, win 501, length 148
19:13:06.655729 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7684:7720, ack 1, win 501, length 36
19:13:06.655757 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7720:7868, ack 1, win 501, length 148
19:13:06.655778 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7868:7904, ack 1, win 501, length 36
19:13:06.655807 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 7904:8052, ack 1, win 501, length 148
19:13:06.655828 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8052:8088, ack 1, win 501, length 36
19:13:06.655881 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8088:8236, ack 1, win 501, length 148
19:13:06.655921 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8236:8272, ack 1, win 501, length 36
19:13:06.655937 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8272:8420, ack 1, win 501, length 148
19:13:06.655972 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8420:8456, ack 1, win 501, length 36
19:13:06.655991 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8456:8604, ack 1, win 501, length 148
19:13:06.656013 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8604:8640, ack 1, win 501, length 36
19:13:06.656046 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8640:8788, ack 1, win 501, length 148
19:13:06.656067 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8788:8824, ack 1, win 501, length 36
19:13:06.656096 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8824:8972, ack 1, win 501, length 148
19:13:06.656117 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 8972:9008, ack 1, win 501, length 36
19:13:06.656145 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9008:9156, ack 1, win 501, length 148
19:13:06.656166 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9156:9192, ack 1, win 501, length 36
19:13:06.656193 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9192:9340, ack 1, win 501, length 148
19:13:06.656213 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9340:9376, ack 1, win 501, length 36
19:13:06.656248 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9376:9508, ack 1, win 501, length 132
19:13:06.656270 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9508:9544, ack 1, win 501, length 36
19:13:06.659603 IP 198.96.85.21.51536 > 165.227.42.177.22: Flags [.], ack 7352, win 2050, length 0
19:13:06.659856 IP 198.96.85.21.51536 > 165.227.42.177.22: Flags [.], ack 9544, win 2050, length 0
19:13:06.758652 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9544:9692, ack 1, win 501, length 148
19:13:06.758731 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9692:9728, ack 1, win 501, length 36
19:13:06.758781 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9728:9876, ack 1, win 501, length 148
19:13:06.758804 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9876:9912, ack 1, win 501, length 36
19:13:06.758833 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 9912:10060, ack 1, win 501, length 148
19:13:06.758867 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10060:10096, ack 1, win 501, length 36
19:13:06.758888 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10096:10244, ack 1, win 501, length 148
19:13:06.758909 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10244:10280, ack 1, win 501, length 36
19:13:06.758939 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10280:10428, ack 1, win 501, length 148
19:13:06.758959 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10428:10464, ack 1, win 501, length 36
19:13:06.758987 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10464:10612, ack 1, win 501, length 148
19:13:06.759008 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10612:10648, ack 1, win 501, length 36
19:13:06.759036 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10648:10796, ack 1, win 501, length 148
19:13:06.759057 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10796:10832, ack 1, win 501, length 36
19:13:06.759085 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10832:10980, ack 1, win 501, length 148
19:13:06.759144 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 10980:11016, ack 1, win 501, length 36
19:13:06.759175 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11016:11164, ack 1, win 501, length 148
19:13:06.759196 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11164:11200, ack 1, win 501, length 36
19:13:06.759232 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11200:11348, ack 1, win 501, length 148
19:13:06.759255 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11348:11384, ack 1, win 501, length 36
19:13:06.759284 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11384:11532, ack 1, win 501, length 148
19:13:06.759305 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11532:11568, ack 1, win 501, length 36
19:13:06.759333 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11568:11716, ack 1, win 501, length 148
19:13:06.759369 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11716:11752, ack 1, win 501, length 36
19:13:06.759419 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11752:11900, ack 1, win 501, length 148
19:13:06.759463 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 11900:12084, ack 1, win 501, length 184
19:13:06.759485 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12084:12120, ack 1, win 501, length 36
19:13:06.759514 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12120:12268, ack 1, win 501, length 148
19:13:06.759558 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12268:12304, ack 1, win 501, length 36
19:13:06.759591 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12304:12452, ack 1, win 501, length 148
19:13:06.759614 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12452:12488, ack 1, win 501, length 36
19:13:06.759656 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12488:12636, ack 1, win 501, length 148
19:13:06.759713 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12636:12672, ack 1, win 501, length 36
19:13:06.759759 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12672:12820, ack 1, win 501, length 148
19:13:06.759787 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12820:12856, ack 1, win 501, length 36
19:13:06.759825 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 12856:13004, ack 1, win 501, length 148
19:13:06.759847 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13004:13040, ack 1, win 501, length 36
19:13:06.759875 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13040:13188, ack 1, win 501, length 148
19:13:06.759896 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13188:13224, ack 1, win 501, length 36
19:13:06.759951 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13224:13372, ack 1, win 501, length 148
19:13:06.759973 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13372:13408, ack 1, win 501, length 36
19:13:06.760022 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13408:13556, ack 1, win 501, length 148
19:13:06.760044 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13556:13592, ack 1, win 501, length 36
19:13:06.760096 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13592:13740, ack 1, win 501, length 148
19:13:06.760132 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13740:13776, ack 1, win 501, length 36
19:13:06.760174 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13776:13924, ack 1, win 501, length 148
19:13:06.760204 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13924:13960, ack 1, win 501, length 36
19:13:06.760235 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 13960:14108, ack 1, win 501, length 148
19:13:06.760256 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14108:14144, ack 1, win 501, length 36
19:13:06.760286 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14144:14292, ack 1, win 501, length 148
19:13:06.760306 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14292:14328, ack 1, win 501, length 36
19:13:06.760334 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14328:14476, ack 1, win 501, length 148
19:13:06.760355 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14476:14512, ack 1, win 501, length 36
19:13:06.760383 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14512:14660, ack 1, win 501, length 148
19:13:06.760404 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14660:14696, ack 1, win 501, length 36
19:13:06.760432 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14696:14844, ack 1, win 501, length 148
19:13:06.760452 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14844:14880, ack 1, win 501, length 36
19:13:06.760481 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 14880:15028, ack 1, win 501, length 148
19:13:06.760502 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15028:15064, ack 1, win 501, length 36
19:13:06.760530 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15064:15212, ack 1, win 501, length 148
19:13:06.760550 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15212:15248, ack 1, win 501, length 36
19:13:06.760578 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15248:15396, ack 1, win 501, length 148
19:13:06.760599 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15396:15432, ack 1, win 501, length 36
19:13:06.760626 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15432:15580, ack 1, win 501, length 148
19:13:06.760659 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15580:15616, ack 1, win 501, length 36
19:13:06.760701 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15616:15764, ack 1, win 501, length 148
19:13:06.760723 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15764:15800, ack 1, win 501, length 36
19:13:06.760751 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15800:15948, ack 1, win 501, length 148
19:13:06.760772 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15948:15984, ack 1, win 501, length 36
19:13:06.760805 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 15984:16132, ack 1, win 501, length 148
19:13:06.760827 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16132:16168, ack 1, win 501, length 36
19:13:06.760855 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16168:16316, ack 1, win 501, length 148
19:13:06.760875 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16316:16352, ack 1, win 501, length 36
19:13:06.760903 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16352:16500, ack 1, win 501, length 148
19:13:06.760957 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16500:16536, ack 1, win 501, length 36
19:13:06.760977 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16536:16684, ack 1, win 501, length 148
19:13:06.761007 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16684:16720, ack 1, win 501, length 36
19:13:06.761051 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16720:16868, ack 1, win 501, length 148
19:13:06.761073 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16868:16904, ack 1, win 501, length 36
19:13:06.761123 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 16904:17052, ack 1, win 501, length 148
19:13:06.761145 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17052:17088, ack 1, win 501, length 36
19:13:06.761174 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17088:17236, ack 1, win 501, length 148
19:13:06.761195 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17236:17272, ack 1, win 501, length 36
19:13:06.761223 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17272:17420, ack 1, win 501, length 148
19:13:06.761247 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17420:17456, ack 1, win 501, length 36
19:13:06.761277 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17456:17604, ack 1, win 501, length 148
19:13:06.761299 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17604:17640, ack 1, win 501, length 36
19:13:06.761326 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17640:17788, ack 1, win 501, length 148
19:13:06.761347 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17788:17824, ack 1, win 501, length 36
19:13:06.761375 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17824:17972, ack 1, win 501, length 148
19:13:06.761396 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 17972:18008, ack 1, win 501, length 36
19:13:06.761421 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18008:18156, ack 1, win 501, length 148
19:13:06.761439 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18156:18192, ack 1, win 501, length 36
19:13:06.761467 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18192:18340, ack 1, win 501, length 148
19:13:06.761489 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18340:18376, ack 1, win 501, length 36
19:13:06.761518 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18376:18524, ack 1, win 501, length 148
19:13:06.761539 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18524:18560, ack 1, win 501, length 36
19:13:06.761674 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18560:18708, ack 1, win 501, length 148
19:13:06.761725 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18708:18744, ack 1, win 501, length 36
19:13:06.761769 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18744:18892, ack 1, win 501, length 148
19:13:06.761790 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18892:18928, ack 1, win 501, length 36
19:13:06.761838 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 18928:19076, ack 1, win 501, length 148
19:13:06.761866 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 19076:19112, ack 1, win 501, length 36
19:13:06.761896 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 19112:19260, ack 1, win 501, length 148
19:13:06.761919 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 19260:19296, ack 1, win 501, length 36
19:13:06.761948 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 19296:19444, ack 1, win 501, length 148
